aX,aY,aZ,gX,gY,gZ
-2.477,0.358,-1.438,20.691,703.735,-109.070
-2.450,0.225,-2.850,-47.791,731.873,-133.484
-2.204,-0.168,-3.976,-130.249,690.918,-162.354
-1.774,-0.795,-4.000,-201.233,588.135,-183.411
-1.397,-1.435,-4.000,-216.003,459.290,-189.941
-1.127,-1.679,-4.000,-180.603,309.326,-176.392
-1.026,-1.726,-3.218,-125.305,178.772,-160.706
-0.878,-1.507,-2.663,-74.646,127.686,-89.478
-0.702,-0.767,-2.816,-38.574,126.892,2.136
-0.624,-0.353,-2.682,-10.498,98.816,20.081
-0.490,-0.093,-2.353,20.081,62.134,21.179
-0.381,-0.015,-2.081,32.349,38.147,13.611
-0.318,-0.057,-1.765,30.945,23.437,3.601
-0.275,-0.151,-1.572,23.926,19.653,-3.418
-0.239,-0.203,-1.552,16.785,25.574,-4.517
-0.210,-0.221,-1.579,13.123,25.879,-2.625
-0.192,-0.223,-1.558,10.681,19.104,-0.671
-0.184,-0.227,-1.547,8.667,11.047,1.343
-0.161,-0.220,-1.526,6.714,2.502,3.052
-0.159,-0.230,-1.482,1.953,-6.714,3.479
-0.152,-0.233,-1.406,-1.038,-15.564,3.784
-0.130,-0.217,-1.325,-5.066,-22.949,3.967
-0.128,-0.223,-1.232,-8.972,-27.405,2.563
-0.123,-0.255,-1.106,-8.972,-29.175,1.221
-0.103,-0.244,-1.037,-5.676,-25.635,2.197
-0.092,-0.255,-1.011,-3.174,-19.043,2.502
-0.067,-0.272,-0.969,-0.671,-15.869,3.052
-0.050,-0.215,-1.015,1.404,-11.475,4.639
-0.051,-0.209,-1.050,0.977,-10.010,4.211
-0.047,-0.213,-1.028,0.244,-13.306,3.662
-0.061,-0.185,-0.986,-0.427,-16.541,4.517
-0.059,-0.142,-0.951,-1.282,-16.724,4.883
-0.052,-0.167,-0.934,0.854,-14.709,3.235
-0.056,-0.153,-0.943,4.456,-12.695,3.357
-0.055,-0.133,-0.949,7.019,-12.146,4.211
-0.056,-0.157,-0.916,8.423,-13.489,2.747
-0.051,-0.164,-0.909,8.789,-13.855,2.136
-0.046,-0.147,-0.906,6.409,-13.550,2.441
-0.041,-0.155,-0.906,5.615,-13.123,1.587
-0.034,-0.151,-0.930,5.249,-12.207,1.770
-0.040,-0.102,-0.902,5.676,-12.695,2.625
-0.039,-0.096,-0.881,5.493,-11.353,0.671
-0.024,-0.141,-0.948,4.028,-6.592,-2.319
-0.031,-0.195,-0.968,3.967,-5.676,-3.967
-0.025,-0.204,-0.939,5.310,-7.202,-3.296
-0.021,-0.225,-0.923,5.432,-6.775,-2.808
-0.016,-0.225,-0.981,4.028,-4.395,-1.770
-0.006,-0.203,-1.006,3.174,-3.845,0.183
0.002,-0.215,-1.015,4.028,-5.859,0.610
-0.001,-0.199,-1.015,4.333,-7.568,1.465
-0.016,-0.161,-0.986,3.906,-9.033,1.404
-0.020,-0.208,-0.962,7.019,-7.690,0.305
-0.007,-0.201,-1.005,6.836,-3.784,0.305
-0.016,-0.202,-0.986,7.080,-3.662,0.610
-0.016,-0.193,-1.006,7.141,-3.052,0.671
-0.018,-0.186,-1.029,7.446,-2.563,1.282
-0.020,-0.172,-1.032,6.592,-3.723,1.587
-0.021,-0.160,-1.024,5.493,-5.371,1.648
-0.020,-0.175,-1.027,3.357,-6.287,0.854
-0.024,-0.188,-1.024,2.380,-6.775,0.549
-0.026,-0.150,-1.022,4.822,-7.446,1.038
-0.027,-0.170,-0.998,6.897,-7.507,1.099
-0.020,-0.132,-1.007,3.723,-6.409,0.854
-0.024,-0.160,-0.995,1.648,-6.348,-0.977
-0.018,-0.166,-1.006,0.671,-5.920,-1.709
-0.009,-0.162,-1.013,0.854,-5.798,-1.099
-0.010,-0.196,-1.002,1.526,-6.592,-1.343
0.001,-0.200,-1.015,2.991,-6.836,-0.488
-0.009,-0.198,-1.041,4.700,-7.324,0.549
0.001,-0.189,-1.025,4.700,-9.949,1.099
0.000,-0.196,-0.999,4.089,-12.695,1.404
0.002,-0.177,-0.979,2.319,-12.817,2.136
0.007,-0.140,-0.993,1.831,-11.475,1.892
0.011,-0.217,-0.969,3.052,-10.986,-0.671
0.015,-0.184,-0.985,0.916,-9.399,0.122
0.017,-0.153,-0.996,2.991,-8.423,1.648
0.020,-0.165,-0.990,6.104,-8.606,-0.122
0.017,-0.174,-0.982,7.080,-7.568,-0.671
0.022,-0.189,-0.998,5.981,-5.981,-0.549
0.025,-0.207,-1.015,5.615,-5.188,0.000
0.023,-0.216,-1.017,5.310,-5.920,0.732
0.028,-0.190,-1.011,5.737,-6.531,2.686
0.031,-0.179,-1.006,5.615,-6.470,2.991
0.032,-0.161,-1.021,5.371,-5.859,2.686
0.026,-0.168,-1.000,4.150,-6.348,2.136
0.028,-0.158,-0.997,2.808,-6.775,1.343
0.027,-0.176,-1.019,1.648,-5.859,0.488
0.026,-0.191,-1.031,1.465,-6.348,-0.183
0.028,-0.196,-1.028,3.784,-6.836,0.793
0.030,-0.176,-1.019,5.554,-7.996,2.014
0.020,-0.152,-0.978,6.897,-8.362,2.930
0.029,-0.139,-0.971,6.592,-6.470,2.502
0.034,-0.168,-0.995,3.418,-4.517,0.061
0.036,-0.175,-1.023,2.075,-3.723,-0.549
0.036,-0.214,-1.012,5.005,-4.761,0.183
0.039,-0.187,-1.042,3.906,-5.432,2.075
0.039,-0.162,-1.029,4.944,-6.653,4.028
0.031,-0.156,-1.003,4.761,-8.545,3.235
0.033,-0.158,-1.014,3.296,-8.057,2.991
0.030,-0.180,-1.020,2.319,-8.545,2.258
0.035,-0.190,-1.035,3.113,-8.972,2.808
0.038,-0.190,-1.036,5.798,-10.193,4.395
0.044,-0.175,-1.033,7.385,-11.780,6.348
0.044,-0.131,-1.040,8.728,-13.062,6.897
0.050,-0.168,-1.006,9.033,-16.418,5.249
0.051,-0.155,-0.990,6.226,-17.212,5.554
0.048,-0.141,-0.991,5.554,-15.442,7.019
0.057,-0.136,-1.020,5.981,-12.878,7.507
0.060,-0.135,-1.049,7.080,-13.123,6.958
0.059,-0.135,-1.050,8.362,-14.954,7.019
0.058,-0.118,-1.020,9.399,-18.005,7.141
0.062,-0.120,-1.012,9.888,-19.043,6.226
0.065,-0.138,-1.028,8.972,-18.982,5.310
0.074,-0.122,-1.056,8.423,-20.203,4.883
0.071,-0.125,-1.037,12.451,-23.804,3.967
0.082,-0.152,-1.011,8.484,-27.649,1.892
0.087,-0.113,-1.020,7.935,-27.100,3.601
0.088,-0.113,-1.006,7.996,-27.893,3.723
