aX,aY,aZ,gX,gY,gZ
-0.595,0.150,2.647,-15.930,-376.099,93.445
-0.561,0.172,2.683,-31.006,-315.552,93.201
-0.484,0.448,2.518,-38.635,-255.005,97.412
-0.374,0.724,2.444,-41.992,-211.670,94.604
-0.274,0.816,2.467,-47.241,-178.467,75.256
-0.209,0.756,2.480,-44.250,-145.996,48.950
-0.159,0.575,2.394,-31.616,-112.061,23.865
-0.143,0.370,2.164,-18.066,-75.867,4.150
-0.146,0.191,1.865,-11.658,-44.189,-6.470
-0.123,0.084,1.603,-12.695,-23.315,-10.376
-0.104,0.038,1.470,-17.090,-14.771,-9.827
-0.094,-0.022,1.446,-21.790,-11.780,-8.545
-0.102,-0.075,1.374,-18.982,-7.263,-6.531
-0.080,-0.052,1.217,-6.653,-2.380,-1.465
-0.058,0.003,1.176,2.258,-3.235,3.296
-0.052,0.057,1.143,8.118,-4.395,6.531
-0.035,0.081,1.086,10.803,-2.197,7.019
-0.019,0.121,1.065,10.254,-0.854,7.324
-0.008,0.162,1.034,7.874,1.221,6.897
0.002,0.173,1.021,5.737,3.418,4.700
0.010,0.167,1.006,4.761,6.165,1.831
0.012,0.135,0.986,2.991,9.766,-0.671
0.010,0.095,0.936,3.601,11.841,-1.892
0.013,0.098,0.881,5.066,11.963,-0.610
0.026,0.093,0.852,2.136,9.094,0.671
0.047,0.116,0.869,0.854,3.662,2.625
0.059,0.147,0.933,0.916,-0.549,3.845
0.058,0.156,1.001,2.258,-2.319,3.235
0.052,0.158,0.987,5.310,-0.244,1.953
0.052,0.176,0.945,6.592,1.892,1.770
0.053,0.184,0.979,3.601,0.488,1.038
0.055,0.187,0.995,0.977,0.000,-0.183
0.057,0.182,0.992,0.183,0.671,-0.916
0.052,0.166,0.996,1.343,0.427,-2.319
0.040,0.148,0.992,4.333,0.183,-3.113
0.042,0.122,0.980,8.179,-0.122,-3.357
0.039,0.108,0.975,9.094,-0.793,-2.991
0.045,0.111,0.971,7.202,-1.099,-2.014
0.047,0.123,0.999,5.798,-1.831,-1.343
0.049,0.137,1.002,5.920,-1.343,-1.282
0.057,0.148,0.988,6.714,0.366,-1.892
0.052,0.127,0.994,6.348,0.549,-3.052
0.049,0.098,1.019,4.639,0.366,-3.967
0.046,0.102,1.017,4.700,1.465,-3.723
0.044,0.097,1.001,4.822,2.625,-3.479
0.046,0.100,1.000,3.967,2.258,-3.174
0.044,0.108,1.000,3.540,2.258,-2.808
0.045,0.085,0.994,3.052,2.625,-3.174
0.043,0.103,0.975,1.648,2.808,-2.869
0.052,0.113,0.988,0.061,1.770,-2.625
0.047,0.109,1.004,1.465,0.854,-3.174
0.040,0.110,0.990,4.822,2.014,-3.296
0.038,0.079,1.011,5.249,1.953,-4.089
0.042,0.059,1.020,5.066,2.258,-4.089
0.035,0.063,0.994,5.554,3.967,-3.113
0.040,0.080,0.989,4.578,3.845,-2.014
0.043,0.098,0.993,3.967,3.418,-1.282
0.040,0.089,0.987,3.235,3.418,-1.770
0.038,0.084,0.960,3.113,3.540,-1.892
0.039,0.075,0.976,0.366,2.197,-1.465
0.040,0.063,1.000,-0.061,0.916,-1.099
0.041,0.069,0.981,2.686,1.343,-0.183
0.042,0.077,0.980,4.272,1.160,0.793
0.048,0.090,1.003,3.174,0.244,1.099
0.052,0.119,1.010,1.831,0.854,1.404
0.049,0.107,1.003,1.282,2.075,0.183
0.046,0.091,0.998,1.221,2.563,-0.977
0.048,0.074,0.993,0.671,2.808,-1.038
0.050,0.084,0.988,1.404,3.052,-0.732
0.053,0.101,0.982,2.625,3.235,-0.366
0.050,0.076,0.966,2.258,3.418,-1.648
0.052,0.085,0.976,0.610,2.625,-1.587
0.053,0.095,0.987,0.244,2.197,-0.916
0.051,0.084,0.962,0.793,3.052,-1.404
0.054,0.090,0.962,0.977,2.747,-1.099
0.054,0.099,0.991,0.854,1.465,-0.793
0.056,0.083,0.988,1.221,1.587,-1.282
0.054,0.083,0.977,2.502,2.075,-1.221
0.056,0.084,0.969,3.235,2.014,-0.610
0.059,0.093,0.979,2.380,1.465,-0.427
0.064,0.109,0.991,1.892,1.221,-0.427
0.065,0.103,0.977,3.357,1.892,-1.282
0.064,0.091,0.964,3.357,2.258,-2.014
0.061,0.079,0.961,1.953,2.380,-2.319
0.060,0.076,0.968,0.916,1.953,-1.892
0.054,0.085,0.987,-0.488,1.465,-1.160
0.057,0.094,0.991,-1.221,1.648,-0.977
0.053,0.093,0.986,-1.099,2.441,-1.221
0.051,0.078,0.982,0.244,2.319,-1.770
0.054,0.075,0.979,1.587,2.075,-1.770
0.058,0.086,0.983,2.075,1.892,-1.221
0.054,0.077,0.982,3.540,1.892,-1.526
0.056,0.070,0.985,3.662,1.770,-1.892
0.054,0.067,0.983,2.808,1.892,-1.404
0.051,0.068,0.982,0.977,1.831,-0.916
0.055,0.097,1.000,-0.244,1.404,-0.122
0.060,0.115,0.999,0.305,1.892,-0.122
0.057,0.086,0.980,1.099,3.174,-1.831
0.059,0.075,0.974,0.793,3.479,-2.441
0.059,0.070,0.978,0.854,3.052,-2.075
0.055,0.056,0.983,-0.122,2.930,-2.014
0.052,0.053,0.986,-0.732,2.930,-1.465
0.053,0.064,0.976,-1.160,3.235,-0.305
0.054,0.071,0.972,-0.916,3.235,0.427
0.057,0.084,0.987,-1.404,2.869,0.671
0.061,0.076,0.995,-0.610,2.930,0.427
0.062,0.070,0.973,0.671,4.211,-0.122
0.061,0.080,0.970,0.244,4.333,0.244
0.064,0.090,0.987,-0.122,3.601,0.366
0.065,0.071,0.988,0.183,3.479,-0.366
0.068,0.066,0.971,0.671,3.845,-0.305
0.073,0.083,0.968,1.221,3.113,0.610
0.074,0.078,0.970,0.366,2.686,0.671
0.076,0.078,0.974,-0.183,2.563,0.610
0.077,0.083,0.962,0.549,2.991,1.038
0.070,0.072,0.943,-0.183,2.869,0.854
0.072,0.082,0.969,-1.221,1.343,1.343
0.072,0.078,0.991,-0.610,0.732,1.221
0.071,0.073,0.984,-0.183,1.404,1.038
-1.070,-0.390,1.802,52.002,-485.962,128.601
-1.087,0.047,2.151,35.217,-463.989,147.522
-1.006,0.508,2.451,4.395,-430.542,159.363
-0.825,1.074,2.665,-24.780,-383.057,151.489
-0.610,1.423,2.876,-79.102,-322.815,123.291
-0.321,1.330,2.984,-141.235,-252.563,75.134
-0.474,1.294,2.693,-181.091,-174.988,30.396
-0.501,0.918,2.458,-223.267,-110.046,-4.883
-0.593,0.385,2.244,-210.144,-82.275,-32.532
-0.598,0.163,2.155,-156.738,-75.745,-27.466
-0.552,0.020,2.229,-85.938,-80.139,-10.681
-0.506,-0.081,2.290,-26.611,-78.125,2.869
-0.445,0.025,2.217,3.479,-60.669,19.836
-0.322,0.262,1.996,13.855,-36.804,33.752
-0.224,0.495,1.725,8.240,-16.235,37.842
-0.126,0.616,1.521,1.709,-4.272,32.410
-0.036,0.649,1.510,-2.686,-0.061,20.935
-0.010,0.567,1.384,0.793,10.681,5.615
-0.017,0.466,1.103,6.592,27.405,-5.493
-0.005,0.390,0.976,6.897,31.860,-11.536
0.011,0.326,0.931,6.714,31.799,-14.526
0.003,0.250,0.834,9.277,34.485,-15.991
